catalog_order,track,category,subcategory,format,title,series_number,duration,upload_date,views,video_id,url,description
22,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 11,11,8:03,2022-06-03,2343,AOusBf-qEds,https://www.youtube.com/watch?v=AOusBf-qEds,"0:00 - Question
1:10 - Answer and Explanation
5:42 - Wrong answers and ddx"
23,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 12,12,7:00,2022-09-10,2689,oYRuMfSSL_M,https://www.youtube.com/watch?v=oYRuMfSSL_M,"0:00 - Question
0:49 - Answer and Explanation
2:37 - Wrong answers and ddx
#neuroradiology 
Wernecke encephalopathy (WE)"
24,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 13,13,6:15,2022-10-30,3704,e9MBsAPK734,https://www.youtube.com/watch?v=e9MBsAPK734,"0:00 - Question
0:55 - Answer and Explanation
2:45 - Wrong answers and ddx
#neuroradiology 
Methotrexate neurotoxicity"
25,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 1,1,4:11,2020-12-22,3243,VEfWdZ8Prok,https://www.youtube.com/watch?v=VEfWdZ8Prok,"0:00 - Question
0:50 - Answer and Explanation
2:00 - Wrong answers

Congenital Malformation / Iatrogenic: Epidermoid"
26,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 2,2,4:18,2020-12-30,2316,Q8Ghq6AxngQ,https://www.youtube.com/watch?v=Q8Ghq6AxngQ,"0:00 - Question
0:50 - Answer and explanation
2:20 - Wrong answers

Neoplasm: Myxopapillary ependymoma"
27,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 3,3,4:16,2021-01-17,1977,_dtZOxL9Wss,https://www.youtube.com/watch?v=_dtZOxL9Wss,"0:00 - Question
0:50 - Answer and Explanation
2:23 - Wrong answers
#neuroradiology 
Neoplasm: Spinal meningioma"
28,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 4,4,7:17,2021-02-17,2491,1S6aNfs13HU,https://www.youtube.com/watch?v=1S6aNfs13HU,"0:00 - Question
0:55 - Answer and explanation
4:31 - Wrong answers

Congenital Malformation: Neurenteric cyst"
29,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 5,5,10:10,2021-05-26,2181,k--S0S0SOhY,https://www.youtube.com/watch?v=k--S0S0SOhY,"0:00 - Question
0:58 - Answer and explanation
4:03 - Differential discussion
8:03 - Wrong answers explanation

Congenital: von Hippel-Lindau"
30,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 6,6,9:10,2021-08-02,2135,KjedO4tuvoU,https://www.youtube.com/watch?v=KjedO4tuvoU,"0:00 - Question
1:00 - Answer and Explanation
4:24 - Wrong answers and differential diagnosis

Multiple sclerosis"
31,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 7,7,7:27,2021-09-03,1823,GRqJ2xmpuko,https://www.youtube.com/watch?v=GRqJ2xmpuko,"0:00 - Question
1:00 - Answer and Explanation
1:54 - Dorsal column-medial lemniscus anatomy
5:04 - Wrong answers and differential"
32,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 8,8,7:26,2021-10-15,1806,Vy5vS3eC-Rs,https://www.youtube.com/watch?v=Vy5vS3eC-Rs,"0:00 - Question
0:58 - Findings
1:56 - Answer
4:21 - Wrong choices and Ddx"
